PRODUCT_NAME,UNIT_OF_MEASURE,matched_internal_product,similarity_score
5 HOUR XTRA GRAPE 1.93 OZ,1,NULL,0.41210584143914647
B - PB & HONEY SAMMICH,1,NULL,0.7199948671217775
B - RUDY FARMS - SAUSAGE AND BISCUIT TWIN,1,NULL,0.4428684240111857
BANANAS - FRESH,1,NULL,0.4907181164773913
BOBOS PB&J GRAPE 2.1 OZ,1,NULL,0.3367965656905008
BODY ARMOR STRWBRY BANANA 16 OZ,1,NULL,0.21780493599929476
BR ESPRESSO W/ CREAM 11 OZ,1,NULL,0.31172073224733243
Bumble Bee Tuna Salad 3.5oz,1,Bumble Bee Tuna Salad with Crackers (3.5oz),0.8597301304261109
CELSIUS ORANGE ENERGY 12 OZ,1,NULL,0.38244095932037336
CELSIUS PEACH VIBE 12 OZ,1,NULL,0.7219884299769421
DIET MOUNTAIN DEW 20 OZ,1,NULL,0.4298235545802242
DOLE STRWBRY LEMONADE 20 OZ,1,NULL,0.3418103576311368
DOVE BAR DARK CHOC 1.44 OZ,1,NULL,0.36976615674336905
Dr Pepper 12oz Can,1,NULL,0.4157566120374931
F - TURKEY HAM CHS HM WRAP,1,NULL,0.3765952186902594
F- WHITE CASTLE BREAKFAST SANDWICH,1,NULL,0.49832055915715706
FAIRLIFE 2% STRAWBERRY MILK 14 OZ,1,NULL,0.44070349135105147
FL Doritos Spicy Sweet Chili LSS 1.75oz Bag,1,NULL,0.38876271322108913
GRANDMA'S MINI VN 3.7 OZ,1,NULL,0.28769862898154536
Haribo Gold-Bears Gummi Candy 4oz.,1,Haribo Gummi Gold-Bears (.4oz),0.8930030670893038
HY Hersheys Milk Chocolate w Almonds 1.45oz Each,1,NULL,0.6355564563563856
KF - NY MIXED BERRY CHSCAKE CUP,1,NULL,0.2920144359385383
Kraft Mac & Cheese Original Cups 2.05 oz.,1,NULL,0.3563507783931904
LSS-BRIM'S BBQ PORK RINDS,1,NULL,0.666966640787634
LSS-CRUNCHY CHEETO,1,NULL,0.2949270571057293
LSS-DORITOS COOL RANCH,1,NULL,0.3373157066369289
LSS-FLAMIN HOT CHEETOS,1,NULL,0.7177314318231452
LSS-RUFFLES CHDR & SOUR CREAM,1,NULL,0.3119254763937318
M&M PLAIN,1,NULL,0.5933807179476293
MF-BOSTON CREME HONEY BUN,1,NULL,0.6934555833052245
MF-CHOCOLATE MINI DONUTS,1,NULL,0.5416680871093578
MINUTE MAID FRUIT PUNCH 20 OZ,1,NULL,0.553694680527883
MOUNTAIN DEW ZERO 20 OZ,1,NULL,0.4441373795059092
ORANGE FANTA 20 OZ,1,NULL,0.5028372289439464
Pillsbury Mini SOFT BAKED Chocolate Chip Cookies Bag 3oz,1,NULL,0.7464392722983488
Pillsbury Soft Baked Confetti Cookies 3oz,1,Pillsbury Mini Soft Baked Confetti Cookies (3oz),0.952337487434737
POP CHIP BBQ .8 OZ,1,NULL,0.48087454298984245
SKITTLES ORIG GUMMIES 5.8 OZ,1,NULL,0.3232211408862684
STARBUCKS DOUBLESHOT + ENG-VAN 15 OZ,1,NULL,0.47061908113008255
STONIES PEPR/CHS/JAL .98 OZ,1,NULL,0.1679671948145017
Sweet Serenity Choc Chip 3 oz,1,NULL,0.49810433465946224
SWEET SERENITY CHOC CHIP COOKIES 3 OZ,1,NULL,0.5545908367924026
YOO HOO CHOC. 11 OZ CANS,1,NULL,0.5284417822867378
